SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
3,0,34,27,-71,23101,15209,266,3128,303,8119,248,60
3,8,41,66,-60,86145,31778,13521,4424,1089,3614,1661,760
6,7,0,0,-2048,19312,63473,1215,3190,8296,3996,2565,3168
4,6,54,37,28,236983,125583,15871,17101,6162,18685,9931,7214
0,4,74,41,8,515611,475165,22401,50770,9621,19928,41032,24155
5,1,51,56,44,552188,290668,32298,38739,35804,28527,14319,3338
2,5,83,63,32,17990,13375,5211,6680,3915,13955,13023,6024
7,3,8,44,-189,985539,228573,34944,27508,9714,32124,33848,15355
6,1,0,0,2047,700997,229548,10828,30795,36852,261445,283493,63196
0,9,47,57,28,365333,584984,36582,142122,45437,77811,99038,36781
