SubjectID,VideoID,Attention,Mediation,Raw,Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2
5.0,3.0,53.0,77.0,-19.0,314008.0,69940.0,15283.0,2089.0,2456.0,5382.0,5157.0,3949.0
1.0,0.0,84.0,66.0,160.0,65315.0,57495.0,11452.0,16198.0,38054.0,8974.0,5899.0,4070.0
2.0,6.0,67.0,64.0,34.0,7464.0,10651.0,2437.0,5919.0,5671.0,7557.0,1667.0,1865.0
1.0,4.0,44.0,63.0,-33.0,196508.0,229009.0,90328.0,46571.0,18637.0,12636.0,5950.0,3556.0
0.0,1.0,53.0,64.0,153.0,735766.0,158608.0,86087.0,61452.0,34017.0,33634.0,55752.0,23909.0
8.0,3.0,63.0,64.0,-24.0,172858.0,79340.0,16515.0,24046.0,29010.0,33431.0,6910.0,9420.0
1.0,0.0,44.0,69.0,70.0,884500.0,144168.0,25016.0,32267.0,19468.0,17953.0,13076.0,8646.0
4.0,2.0,53.0,61.0,9.0,13564.0,13452.0,5694.0,11247.0,16504.0,5016.0,8337.0,3140.0
9.0,3.0,29.0,56.0,-44.0,667111.0,45317.0,41098.0,8305.0,15058.0,13205.0,8649.0,1119.0
7.0,1.0,34.0,64.0,107.0,1053873.0,286657.0,159569.0,56177.0,12560.0,63738.0,29175.0,19278.0
